K	ValidationError	Train Error	Test Error
1	0.2676056338028169	0.0	0.10211267605633803
3	0.19718309859154928	0.04225352112676056	0.09154929577464789
5	0.1936619718309859	0.03169014084507042	0.07746478873239436
7	0.16549295774647887	0.03873239436619718	0.07394366197183098
9	0.15492957746478872	0.03873239436619718	0.07042253521126761
11	0.1619718309859155	0.04225352112676056	0.0880281690140845
13	0.16901408450704225	0.05985915492957746	0.09154929577464789
15	0.16549295774647887	0.05985915492957746	0.09859154929577464
17	0.17253521126760563	0.056338028169014086	0.10211267605633803
19	0.1619718309859155	0.07042253521126761	0.1056338028169014
21	0.15845070422535212	0.07042253521126761	0.1056338028169014
23	0.16549295774647887	0.07042253521126761	0.10211267605633803
25	0.15492957746478872	0.07042253521126761	0.11619718309859155
27	0.15845070422535212	0.07042253521126761	0.12323943661971831
29	0.15845070422535212	0.07394366197183098	0.12323943661971831
31	0.16549295774647887	0.07746478873239436	0.12323943661971831
33	0.1619718309859155	0.07746478873239436	0.13732394366197184
35	0.16549295774647887	0.07746478873239436	0.13732394366197184
37	0.16549295774647887	0.07746478873239436	0.13732394366197184
39	0.16549295774647887	0.07746478873239436	0.13732394366197184
41	0.15492957746478872	0.07746478873239436	0.13732394366197184
43	0.1619718309859155	0.07746478873239436	0.14084507042253522
45	0.1619718309859155	0.08098591549295775	0.14084507042253522
47	0.1619718309859155	0.08098591549295775	0.14084507042253522
49	0.1619718309859155	0.08098591549295775	0.14084507042253522
51	0.16549295774647887	0.08098591549295775	0.13732394366197184
53	0.16901408450704225	0.08098591549295775	0.13380281690140844
55	0.16901408450704225	0.08098591549295775	0.13380281690140844
57	0.16901408450704225	0.08098591549295775	0.13380281690140844
59	0.16549295774647887	0.08098591549295775	0.13380281690140844
61	0.16901408450704225	0.08098591549295775	0.13732394366197184
63	0.16549295774647887	0.08098591549295775	0.13732394366197184
65	0.16901408450704225	0.08098591549295775	0.13732394366197184
67	0.17253521126760563	0.08098591549295775	0.1443661971830986
69	0.17253521126760563	0.08098591549295775	0.1443661971830986
71	0.176056338028169	0.08098591549295775	0.14788732394366197
73	0.176056338028169	0.08450704225352113	0.14788732394366197
75	0.176056338028169	0.08098591549295775	0.14788732394366197
77	0.176056338028169	0.08098591549295775	0.14788732394366197
79	0.1795774647887324	0.08450704225352113	0.15140845070422534
81	0.1795774647887324	0.08450704225352113	0.15140845070422534
83	0.1795774647887324	0.08450704225352113	0.15140845070422534
85	0.1795774647887324	0.08450704225352113	0.15140845070422534
87	0.1795774647887324	0.08450704225352113	0.15845070422535212
89	0.176056338028169	0.08450704225352113	0.1619718309859155
91	0.18309859154929578	0.0880281690140845	0.15845070422535212
93	0.18661971830985916	0.0880281690140845	0.15845070422535212
95	0.18661971830985916	0.08450704225352113	0.16549295774647887
97	0.18661971830985916	0.08450704225352113	0.16901408450704225
99	0.1936619718309859	0.08450704225352113	0.16901408450704225
101	0.19718309859154928	0.0880281690140845	0.16901408450704225
103	0.19718309859154928	0.08450704225352113	0.16549295774647887
105	0.20422535211267606	0.0880281690140845	0.16549295774647887
107	0.20422535211267606	0.09859154929577464	0.16901408450704225
109	0.19718309859154928	0.09859154929577464	0.16549295774647887
111	0.20422535211267606	0.09859154929577464	0.16549295774647887
113	0.2007042253521127	0.09859154929577464	0.16549295774647887
115	0.20422535211267606	0.10211267605633803	0.16549295774647887
117	0.20422535211267606	0.10211267605633803	0.16549295774647887
119	0.20774647887323944	0.09859154929577464	0.16549295774647887
121	0.20774647887323944	0.09859154929577464	0.16549295774647887
123	0.2112676056338028	0.10211267605633803	0.16549295774647887
125	0.21830985915492956	0.10915492957746478	0.176056338028169
127	0.22887323943661972	0.10915492957746478	0.176056338028169
129	0.22887323943661972	0.10915492957746478	0.176056338028169
131	0.2323943661971831	0.11267605633802817	0.176056338028169
133	0.2323943661971831	0.11267605633802817	0.176056338028169
135	0.23591549295774647	0.11267605633802817	0.176056338028169
137	0.23943661971830985	0.11267605633802817	0.176056338028169
139	0.24295774647887325	0.11267605633802817	0.176056338028169
141	0.24647887323943662	0.11267605633802817	0.176056338028169
143	0.25	0.11267605633802817	0.176056338028169
145	0.2535211267605634	0.11267605633802817	0.1795774647887324
147	0.2605633802816901	0.11267605633802817	0.1795774647887324
149	0.2605633802816901	0.11619718309859155	0.1795774647887324
151	0.2605633802816901	0.11267605633802817	0.1795774647887324
153	0.27816901408450706	0.11619718309859155	0.18309859154929578
155	0.27816901408450706	0.11619718309859155	0.18309859154929578
157	0.27816901408450706	0.11971830985915492	0.19014084507042253
159	0.28169014084507044	0.11971830985915492	0.1936619718309859
161	0.29225352112676056	0.11971830985915492	0.1936619718309859
163	0.29225352112676056	0.1267605633802817	0.2007042253521127
165	0.29577464788732394	0.1267605633802817	0.2007042253521127
167	0.2992957746478873	0.13028169014084506	0.20774647887323944
169	0.30633802816901406	0.13028169014084506	0.2112676056338028
