2	Cluster 0
3	Cluster 0
9	Cluster 0
11	Cluster 0
12	Cluster 0
16	Cluster 0
20	Cluster 0
21	Cluster 0
22	Cluster 0
25	Cluster 0
29	Cluster 0
30	Cluster 0
32	Cluster 0
35	Cluster 0
37	Cluster 0
38	Cluster 0
39	Cluster 0
40	Cluster 0
43	Cluster 0
46	Cluster 0
47	Cluster 0
48	Cluster 0
55	Cluster 0
58	Cluster 0
62	Cluster 0
64	Cluster 0
65	Cluster 0
66	Cluster 0
68	Cluster 0
69	Cluster 0
70	Cluster 0
72	Cluster 0
74	Cluster 0
75	Cluster 0
78	Cluster 0
79	Cluster 0
80	Cluster 0
81	Cluster 0
85	Cluster 0
86	Cluster 0
87	Cluster 0
88	Cluster 0
91	Cluster 0
92	Cluster 0
95	Cluster 0
97	Cluster 0
98	Cluster 0
99	Cluster 0
100	Cluster 0
101	Cluster 0
104	Cluster 0
105	Cluster 0
106	Cluster 0
110	Cluster 0
111	Cluster 0
112	Cluster 0
113	Cluster 0
116	Cluster 0
118	Cluster 0
119	Cluster 0
123	Cluster 0
124	Cluster 0
125	Cluster 0
126	Cluster 0
127	Cluster 0
128	Cluster 0
131	Cluster 0
132	Cluster 0
135	Cluster 0
141	Cluster 0
143	Cluster 0
144	Cluster 0
147	Cluster 0
155	Cluster 0
156	Cluster 0
159	Cluster 0
160	Cluster 0
161	Cluster 0
163	Cluster 0
164	Cluster 0
165	Cluster 0
166	Cluster 0
167	Cluster 0
174	Cluster 0
177	Cluster 0
178	Cluster 0
179	Cluster 0
185	Cluster 0
186	Cluster 0
190	Cluster 0
191	Cluster 0
192	Cluster 0
193	Cluster 0
197	Cluster 0
199	Cluster 0
205	Cluster 0
206	Cluster 0
207	Cluster 0
208	Cluster 0
209	Cluster 0
210	Cluster 0
211	Cluster 0
212	Cluster 0
213	Cluster 0
214	Cluster 0
218	Cluster 0
220	Cluster 0
223	Cluster 0
224	Cluster 0
226	Cluster 0
227	Cluster 0
230	Cluster 0
238	Cluster 0
240	Cluster 0
241	Cluster 0
242	Cluster 0
243	Cluster 0
244	Cluster 0
248	Cluster 0
249	Cluster 0
251	Cluster 0
252	Cluster 0
253	Cluster 0
254	Cluster 0
259	Cluster 0
260	Cluster 0
261	Cluster 0
263	Cluster 0
264	Cluster 0
266	Cluster 0
267	Cluster 0
268	Cluster 0
273	Cluster 0
274	Cluster 0
275	Cluster 0
276	Cluster 0
277	Cluster 0
278	Cluster 0
281	Cluster 0
282	Cluster 0
283	Cluster 0
285	Cluster 0
286	Cluster 0
288	Cluster 0
289	Cluster 0
293	Cluster 0
294	Cluster 0
295	Cluster 0
296	Cluster 0
297	Cluster 0
299	Cluster 0
301	Cluster 0
304	Cluster 0
306	Cluster 0
307	Cluster 0
309	Cluster 0
310	Cluster 0
311	Cluster 0
312	Cluster 0
313	Cluster 0
315	Cluster 0
317	Cluster 0
318	Cluster 0
319	Cluster 0
320	Cluster 0
323	Cluster 0
324	Cluster 0
325	Cluster 0
326	Cluster 0
327	Cluster 0
331	Cluster 0
333	Cluster 0
334	Cluster 0
336	Cluster 0
339	Cluster 0
345	Cluster 0
346	Cluster 0
348	Cluster 0
349	Cluster 0
350	Cluster 0
352	Cluster 0
355	Cluster 0
356	Cluster 0
357	Cluster 0
358	Cluster 0
359	Cluster 0
360	Cluster 0
361	Cluster 0
363	Cluster 0
366	Cluster 0
367	Cluster 0
368	Cluster 0
370	Cluster 0
371	Cluster 0
373	Cluster 0
374	Cluster 0
376	Cluster 0
379	Cluster 0
380	Cluster 0
383	Cluster 0
385	Cluster 0
388	Cluster 0
389	Cluster 0
394	Cluster 0
395	Cluster 0
396	Cluster 0
398	Cluster 0
400	Cluster 0
406	Cluster 0
407	Cluster 0
408	Cluster 0
409	Cluster 0
410	Cluster 0
420	Cluster 0
425	Cluster 0
426	Cluster 0
427	Cluster 0
428	Cluster 0
429	Cluster 0
430	Cluster 0
432	Cluster 0
433	Cluster 0
436	Cluster 0
440	Cluster 0
441	Cluster 0
444	Cluster 0
447	Cluster 0
451	Cluster 0
452	Cluster 0
455	Cluster 0
456	Cluster 0
458	Cluster 0
460	Cluster 0
461	Cluster 0
464	Cluster 0
466	Cluster 0
468	Cluster 0
473	Cluster 0
474	Cluster 0
475	Cluster 0
479	Cluster 0
480	Cluster 0
481	Cluster 0
482	Cluster 0
483	Cluster 0
486	Cluster 0
489	Cluster 0
491	Cluster 0
492	Cluster 0
493	Cluster 0
494	Cluster 0
496	Cluster 0
497	Cluster 0
498	Cluster 0
499	Cluster 0
500	Cluster 0
501	Cluster 0
502	Cluster 0
508	Cluster 0
510	Cluster 0
512	Cluster 0
513	Cluster 0
514	Cluster 0
515	Cluster 0
516	Cluster 0
521	Cluster 0
525	Cluster 0
528	Cluster 0
529	Cluster 0
532	Cluster 0
533	Cluster 0
534	Cluster 0
535	Cluster 0
537	Cluster 0
541	Cluster 0
546	Cluster 0
551	Cluster 0
555	Cluster 0
559	Cluster 0
560	Cluster 0
563	Cluster 0
567	Cluster 0
569	Cluster 0
570	Cluster 0
573	Cluster 0
578	Cluster 0
579	Cluster 0
580	Cluster 0
581	Cluster 0
583	Cluster 0
584	Cluster 0
593	Cluster 0
595	Cluster 0
599	Cluster 0
607	Cluster 0
608	Cluster 0
611	Cluster 0
612	Cluster 0
616	Cluster 0
618	Cluster 0
620	Cluster 0
625	Cluster 0
628	Cluster 0
631	Cluster 0
637	Cluster 0
638	Cluster 0
641	Cluster 0
642	Cluster 0
643	Cluster 0
645	Cluster 0
646	Cluster 0
647	Cluster 0
648	Cluster 0
649	Cluster 0
650	Cluster 0
651	Cluster 0
653	Cluster 0
654	Cluster 0
658	Cluster 0
660	Cluster 0
663	Cluster 0
665	Cluster 0
668	Cluster 0
670	Cluster 0
674	Cluster 0
680	Cluster 0
682	Cluster 0
683	Cluster 0
685	Cluster 0
692	Cluster 0
696	Cluster 0
697	Cluster 0
698	Cluster 0
700	Cluster 0
701	Cluster 0
703	Cluster 0
704	Cluster 0
705	Cluster 0
707	Cluster 0
708	Cluster 0
711	Cluster 0
712	Cluster 0
713	Cluster 0
714	Cluster 0
715	Cluster 0
723	Cluster 0
724	Cluster 0
725	Cluster 0
727	Cluster 0
728	Cluster 0
729	Cluster 0
730	Cluster 0
731	Cluster 0
732	Cluster 0
733	Cluster 0
734	Cluster 0
735	Cluster 0
736	Cluster 0
738	Cluster 0
739	Cluster 0
740	Cluster 0
741	Cluster 0
744	Cluster 0
745	Cluster 0
749	Cluster 0
750	Cluster 0
751	Cluster 0
752	Cluster 0
753	Cluster 0
754	Cluster 0
756	Cluster 0
757	Cluster 0
758	Cluster 0
759	Cluster 0
760	Cluster 0
761	Cluster 0
762	Cluster 0
763	Cluster 0
764	Cluster 0
765	Cluster 0
766	Cluster 0
767	Cluster 0
768	Cluster 0
769	Cluster 0
770	Cluster 0
771	Cluster 0
772	Cluster 0
773	Cluster 0
774	Cluster 0
776	Cluster 0
778	Cluster 0
779	Cluster 0
780	Cluster 0
781	Cluster 0
783	Cluster 0
784	Cluster 0
786	Cluster 0
787	Cluster 0
788	Cluster 0
